source,name,diameter_m,velocity_km_s,distance_km,risk_factor,mitigation_strategy
NEO,(2008 ST),22.5964377109,2.5334067007,5184852.797021148,48.2,Emergency medical preparation for blast injuries.
NEO,(2025 HD6),54.4552779086,5.8877342915,8758069.025838759,12.9,International coordination for disaster management.
NEO,(2025 JE1),41.3085526634,1.3561466847,4349662.818678574,56.5,Marine alerts for potential tsunami from ocean impacts.
NEO,(2025 KC),25.9441817907,7.5289688996,1023936.189741809,89.9,Analysis of meteor composition for chemical hazards.
NEO,(2025 KE1),29.3792008837,18.6523939728,192993.279968748,98.9,Research into long-term planetary defense strategies.
NEO,(2025 KF4),10.8153350678,6.3263190939,279631.539998418,97.2,Research into long-term planetary defense strategies.
NEO,(2025 KH),19.5902500233,11.3711462858,1106122.566758149,89.0,Analysis of meteor composition for chemical hazards.
NEO,(2025 KS1),26.917825833,6.0465791075,146113.974964292,98.6,Research into long-term planetary defense strategies.
NEO,(2025 KZ1),21.5794304844,8.8464164064,3365069.342848491,66.4,Debris shielding for satellites in orbit.
NEO,(2025 KX2),6.2235757337,3.1338429576,367600.338443655,96.3,Research into long-term planetary defense strategies.
NEO,(2024 JQ17),45.713026859,10.4475651765,7800479.057608127,23.0,Use nuclear devices only as last-resort deflection.
NEO,(2025 KJ),18.7085435306,15.2100174605,1360709.508465831,86.5,Analysis of meteor composition for chemical hazards.
NEO,(2021 WT2),88.7237682527,14.8538292618,8032814.692453713,34.1,Secure critical infrastructure in potential impact zones.
NEO,(2025 HU3),42.8587972046,8.6809386207,8137089.030417896,19.2,Deploy kinetic impactor to change asteroid trajectory.
NEO,(2025 HS5),46.5628954805,5.0918585439,9041160.869288785,9.8,Evacuation of high-risk areas if impact is imminent.
NEO,(2025 KD),40.9298335762,6.6957521288,1374177.535425765,86.5,Analysis of meteor composition for chemical hazards.
NEO,(2025 KN),23.0165368531,10.6785099208,1457528.053146871,85.6,Analysis of meteor composition for chemical hazards.
NEO,(2015 HB177),73.1206391247,9.7855300667,8477078.19471416,18.7,Deploy kinetic impactor to change asteroid trajectory.
NEO,(2025 HD19),47.8674154419,9.0421115912,2813735.159398673,72.7,Rapid response teams for search & rescue.
NEO,(2025 KA),38.5513844328,11.8395472915,1620409.211697142,84.5,Temporary exclusion zones around predicted impact sites.
NEO,(2025 KJ1),17.1411509231,8.2198446958,883826.444968263,91.2,Post-impact environmental monitoring plans.
NEO,(2025 KE),100.0092058768,7.8117277806,4636495.7607822,59.4,Marine alerts for potential tsunami from ocean impacts.
NEO,(2025 KY),20.7988814142,14.6514082635,745636.085746178,92.7,Post-impact environmental monitoring plans.
NEO,(2025 KZ),32.5117224521,18.0721120943,821197.984842965,92.8,Post-impact environmental monitoring plans.
NEO,(2022 KP3),12.2472893592,7.7313644873,3910591.170335625,60.9,Reinforcement of buildings against shockwaves.
NEO,(2025 KK),18.1986837803,4.5321198031,730947.729121506,92.7,Post-impact environmental monitoring plans.
NEO,(2025 KR1),69.8296682492,17.6101816633,5728649.790986756,52.6,Fire suppression readiness in case of fireball impacts.
NEO,(2025 KH2),57.0216760901,12.4008645302,5582870.361739145,46.8,Emergency medical preparation for blast injuries.
NEO,(2025 KW7),63.3928064522,17.1549451603,8596244.851038974,21.1,Use nuclear devices only as last-resort deflection.
NEO,(2025 MO2),96.8366994728,9.4634190675,3267294.927617299,75.0,Meteor insurance programs for property damage.
NEO,(2025 HA7),95.5080501462,11.1950603536,7918213.91271917,31.1,Secure critical infrastructure in potential impact zones.
NEO,(2025 KP),51.7654482198,11.333737858,1242306.04063461,89.2,Analysis of meteor composition for chemical hazards.
NEO,(2025 KC1),37.3284518745,8.8133708771,2032946.476401173,80.0,Temporary exclusion zones around predicted impact sites.
NEO,(2025 KL2),52.9712204056,18.8719274292,5820258.335528667,46.8,Emergency medical preparation for blast injuries.
NEO,(2025 KZ3),13.8051134108,2.6142830105,690415.173590948,93.1,Post-impact environmental monitoring plans.
NEO,(2025 KB4),58.6192123671,13.4215258177,7591479.987372552,27.5,Public alert system for meteor airburst warnings.
NEO,(2025 KE4),8.3567994282,3.5961470941,1051901.16285175,89.5,Analysis of meteor composition for chemical hazards.
NEO,390725 (2003 HB),685.5513316542,13.4664383423,7028371.090213117,100,Research into long-term planetary defense strategies.
NEO,434633 (2005 WB1),428.5879720462,16.2834686212,8709359.899527611,100,Research into long-term planetary defense strategies.
NEO,(2014 KF22),31.1917670523,11.4960953712,3475910.384034833,65.6,Debris shielding for satellites in orbit.
NEO,(2025 KM),13.868834919,3.5530015761,1545295.552698236,84.6,Temporary exclusion zones around predicted impact sites.
NEO,(2025 KQ),59.9846292283,9.8740985001,7725487.590149437,24.7,Use nuclear devices only as last-resort deflection.
NEO,(2025 KZ8),58.6192123671,10.4812139412,7004325.880492916,32.0,Secure critical infrastructure in potential impact zones.
NEO,(2025 LE),48.9823907803,11.6124467725,3860974.703023353,62.9,Reinforcement of buildings against shockwaves.
NEO,387746 (2003 MH4),559.8091320902,8.3499414487,6676622.037356153,100,Research into long-term planetary defense strategies.
NEO,(2025 KL),25.0057554041,8.1733813229,3070380.208762667,69.4,Debris shielding for satellites in orbit.
NEO,(2025 KA1),31.3357417074,4.4723601372,8691616.60479967,13.1,International coordination for disaster management.
NEO,(2025 KK1),10.915408131,21.7056523402,505696.256530409,95.0,Research into long-term planetary defense strategies.
NEO,(2025 JP),52.0043866724,7.0151732006,5139243.951927667,49.3,Emergency medical preparation for blast injuries.
NEO,(2025 KA4),51.7654482198,5.240449756,9064911.431044236,9.7,Evacuation of high-risk areas if impact is imminent.
NEO,(2025 LO),276.719636665,22.4988526762,7132263.833930504,100,Research into long-term planetary defense strategies.
NEO,(2025 KT1),22.0820799921,9.4410411306,1999501.04516293,80.1,Temporary exclusion zones around predicted impact sites.
NEO,(2025 KQ4),6.6075427063,10.5730915824,162056.97900508,98.4,Research into long-term planetary defense strategies.
NEO,(2025 KR),75.5161740526,13.7786888273,4944899.234720913,58.2,Marine alerts for potential tsunami from ocean impacts.
NEO,(2025 KD3),128.2448632429,12.0770894551,7538488.472434784,53.5,Fire suppression readiness in case of fireball impacts.
NEO,(2024 LH5),84.3412394123,15.1841830919,8831759.545340568,24.7,Use nuclear devices only as last-resort deflection.
NEO,(2025 FU5),137.4168467624,7.328415378,5147636.886107638,61.6,Reinforcement of buildings against shockwaves.
NEO,(2025 JR),133.0576897973,11.3330878714,4620597.770740495,82.2,Temporary exclusion zones around predicted impact sites.
NEO,(2025 KW),48.3103271838,13.5155465404,4940996.779804732,52.5,Fire suppression readiness in case of fireball impacts.
NEO,(2025 KU1),33.7318358913,3.4379335437,7403425.292127392,26.0,Public alert system for meteor airburst warnings.
NEO,(2025 KA3),45.924028604,19.4908918726,1917535.758838663,84.3,Temporary exclusion zones around predicted impact sites.
NEO,(2025 KX3),17.866520367,7.9408236841,339701.622230337,96.6,Research into long-term planetary defense strategies.
NEO,(2025 KW8),23.2295062464,13.7431086066,1318438.685525021,87.0,Analysis of meteor composition for chemical hazards.
NEO,(2025 KC4),38.0224396088,6.669470485,4082303.674583689,59.4,Marine alerts for potential tsunami from ocean impacts.
NEO,(2025 LW),61.3818507339,10.1573395963,2587637.710852726,76.4,Meteor insurance programs for property damage.
NEO,(2025 NU),57.5492911629,4.7899041098,5766483.735580597,42.7,Satellite observation to track fragmenting meteors.
NEO,(2025 KS8),34.043952726,10.3129981119,2449276.884857776,75.9,Meteor insurance programs for property damage.
NEO,(2025 KG),27.7996916474,3.4360190716,5832804.136499412,41.7,Satellite observation to track fragmenting meteors.
NEO,(2025 KV8),40.9298335762,9.2670126023,1794956.206627244,82.6,Temporary exclusion zones around predicted impact sites.
NEO,(2025 KX8),62.5230245403,8.2608097291,3205943.255392877,69.5,Debris shielding for satellites in orbit.
NEO,(2025 LB),26.0639346928,11.2066509782,152003.987181293,98.7,Research into long-term planetary defense strategies.
NEO,(2025 LA),25.8249791033,13.4656812447,501381.569723656,95.3,Research into long-term planetary defense strategies.
NEO,(2025 LH),29.2442157171,11.2006989769,613849.113751573,94.2,Post-impact environmental monitoring plans.
NEO,(2025 LM),44.2629116503,16.5508640904,1630798.948326299,85.9,Analysis of meteor composition for chemical hazards.
NEO,(2020 LQ),56.7596852866,11.7537961729,6625739.17919497,36.1,Simulation drills for cities under high risk.
NEO,(2025 MB2),95.5080501462,18.4925521971,4568792.118118217,82.3,Temporary exclusion zones around predicted impact sites.
NEO,424482 (2008 DG5),724.5026507569,6.2083864064,3492786.803985486,100,Research into long-term planetary defense strategies.
NEO,(2025 KY4),25.5882142717,3.7730619493,2772278.642543634,72.3,Rapid response teams for search & rescue.
NEO,(2025 LD),36.8162863142,6.79749576,1120269.304294486,89.0,Analysis of meteor composition for chemical hazards.
NEO,(2025 LQ),80.1751864882,12.1210269388,3515439.721289384,72.0,Rapid response teams for search & rescue.
NEO,(2014 LL26),51.7654482198,5.2196278113,3077409.304041209,69.6,Debris shielding for satellites in orbit.
NEO,(2025 KK2),74.1378485408,8.1446739308,8781697.859807389,14.7,International coordination for disaster management.
NEO,(2025 KP8),89.5447191727,13.705923991,5225485.672883328,60.4,Reinforcement of buildings against shockwaves.
NEO,(2025 LK),24.7765012606,10.2614388043,99242.045134827,99.2,Research into long-term planetary defense strategies.
NEO,(2025 ME),88.7237682527,16.7897127222,5461023.12102095,63.9,Reinforcement of buildings against shockwaves.
NEO,(2025 MF),21.2833495984,6.7530401082,2326650.553392408,76.8,Meteor insurance programs for property damage.
NEO,(2018 LE4),97.732718421,13.3993365696,5087201.261480374,64.9,Reinforcement of buildings against shockwaves.
NEO,(2025 LN),9.9092315966,8.932894701,246821.465873852,97.5,Research into long-term planetary defense strategies.
NEO,(2016 LV10),145.8948556919,18.2642365712,9469827.16298495,100,Research into long-term planetary defense strategies.
NEO,(2014 JR24),8.2042706488,2.9054355799,9645070.924954364,3.5,Early detection and orbit monitoring to plan deflection.
NEO,(2025 LV),63.6854143519,16.1860688034,1787801.194821523,88.5,Analysis of meteor composition for chemical hazards.
NEO,(2025 MQ),57.0216760901,13.0762327188,2961968.876341717,73.4,Rapid response teams for search & rescue.
NEO,(2015 XR1),135.5314169419,12.6469332649,6932810.873055795,68.0,Debris shielding for satellites in orbit.
NEO,(2022 KQ5),8.9958038817,5.063457811,5202068.340383304,48.0,Emergency medical preparation for blast injuries.
NEO,(2025 KF1),66.0754270632,9.7231352305,3095406.660831772,71.6,Rapid response teams for search & rescue.
NEO,(2025 KV4),45.0858206172,8.0128451403,1560522.566373417,84.9,Temporary exclusion zones around predicted impact sites.
NEO,(2025 MG2),28.5785360964,4.3552014996,4698484.375857721,53.1,Fire suppression readiness in case of fireball impacts.
NEO,(2023 XO15),40.7417780731,3.4204009285,6813752.1366344,31.9,Secure critical infrastructure in potential impact zones.
NEO,(2025 LD1),16.521138758,12.3583311738,210748.198451189,98.0,Research into long-term planetary defense strategies.
NEO,(2025 HN6),38.7293295383,2.275253295,2437709.304358961,75.7,Meteor insurance programs for property damage.
NEO,(2025 MG),15.2068750946,29.494903577,413556.220675962,96.2,Research into long-term planetary defense strategies.
NEO,(2025 MJ),63.1015429636,8.2788646975,4599583.114670754,55.6,Marine alerts for potential tsunami from ocean impacts.
NEO,(2025 MQ91),63.6854143519,7.4401933553,7851448.458137105,22.8,Use nuclear devices only as last-resort deflection.
NEO,(2003 AY2),645.7136671674,15.9489696724,5429696.234978499,100,Research into long-term planetary defense strategies.
NEO,(2025 MZ),42.0765359959,13.9818292435,847203.25577548,92.9,Post-impact environmental monitoring plans.
NEO,(2025 MX1),9.9092315966,6.5610778859,593517.551475826,94.1,Post-impact environmental monitoring plans.
NEO,(2025 MY1),141.9188158376,12.9351512911,5016874.345367006,94.7,Post-impact environmental monitoring plans.
NEO,(2025 MC90),8.7506432516,12.2760942457,539678.609483869,94.6,Post-impact environmental monitoring plans.
NEO,793349 (2003 AY2),648.694146035,15.948995616,5429820.490969321,100,Research into long-term planetary defense strategies.
NEO,(2025 MP91),43.0566244241,7.0123775751,9370902.654288985,6.7,Evacuation of high-risk areas if impact is imminent.
NEO,(2025 LC1),54.4552779086,8.0246576582,4119132.141973686,59.8,Marine alerts for potential tsunami from ocean impacts.
NEO,(2025 MK),43.8571068371,12.3229407126,5598329.551308566,45.2,Emergency medical preparation for blast injuries.
NEO,(2025 MR),72.7846803049,10.8123871827,1911453.004725954,85.1,Analysis of meteor composition for chemical hazards.
NEO,(2025 MM89),325.1172245215,26.232539625,7058757.24500986,100,Research into long-term planetary defense strategies.
NEO,(2018 MN8),157.7756502649,21.3133044099,8287424.866710606,100,Research into long-term planetary defense strategies.
NEO,(2025 MB1),72.7846803049,12.0003623165,4298556.356581102,62.2,Reinforcement of buildings against shockwaves.
NEO,(2025 MS1),6.3685414352,6.3304417119,314094.132034152,96.9,Research into long-term planetary defense strategies.
NEO,(2025 LT),72.7846803049,14.4742387387,1287353.878755804,94.7,Post-impact environmental monitoring plans.
NEO,(2025 MP),61.9498100059,14.6036031892,3049637.012987828,74.3,Rapid response teams for search & rescue.
NEO,(2025 MQ1),18.1986837803,13.26036059,582858.927635131,94.3,Post-impact environmental monitoring plans.
NEO,(2025 ML2),47.6474846455,7.0690483647,1616027.475125055,84.3,Temporary exclusion zones around predicted impact sites.
NEO,(2025 MP89),35.1592804749,15.3463780765,997619.695400546,91.0,Post-impact environmental monitoring plans.
NEO,(2000 LF3),283.1652650258,14.4862985685,7249056.5066965,100,Research into long-term planetary defense strategies.
NEO,(2025 MC),11.1696606484,8.6469868415,198681.604337415,98.0,Research into long-term planetary defense strategies.
NEO,(2025 KT6),120.792502496,9.1511256898,2698381.393745272,86.9,Analysis of meteor composition for chemical hazards.
NEO,(2025 KU6),98.6370281305,9.146902341,8494106.037628828,22.6,Use nuclear devices only as last-resort deflection.
NEO,(2025 MF96),60.5396601689,13.5363721987,6048151.003393975,43.3,Satellite observation to track fragmenting meteors.
NEO,(2023 XU2),53.4613570733,15.6236673131,4241557.53358007,61.1,Reinforcement of buildings against shockwaves.
NEO,(2025 MA),32.0656448971,9.1510261458,1008174.932153284,90.2,Post-impact environmental monitoring plans.
NEO,(2025 MB),6.6380417377,7.6355580676,134974.453810695,98.7,Research into long-term planetary defense strategies.
NEO,(2025 MD),88.3161195666,9.2334723854,8571459.68537439,19.8,Deploy kinetic impactor to change asteroid trajectory.
NEO,(2025 MA2),92.4783300513,13.7502769035,9953112.95547937,14.5,International coordination for disaster management.
NEO,(2025 MP88),41.8832118738,7.3357526555,1564084.47669833,84.7,Temporary exclusion zones around predicted impact sites.
NEO,(2025 MW89),21.1855614896,4.001264927,2092700.578012078,79.1,Meteor insurance programs for property damage.
NEO,(2025 NA),19.0563613233,12.1049332393,297255.126510786,97.1,Research into long-term planetary defense strategies.
NEO,(2016 LT),289.7610313582,9.5148217654,9892079.642482094,100,Research into long-term planetary defense strategies.
NEO,(2025 MM),66.0754270632,10.6729249363,2076437.569167573,82.3,Temporary exclusion zones around predicted impact sites.
NEO,(2025 NL),17.866520367,3.0036495559,529087.364523822,94.7,Post-impact environmental monitoring plans.
NEO,(2025 MK2),21.8796302659,4.7207445063,2733528.321237321,72.7,Rapid response teams for search & rescue.
NEO,(2025 MR89),32.2136531891,8.5665694684,2112372.249123468,79.1,Meteor insurance programs for property damage.
NEO,(2025 MK90),49.8930414151,9.3867000292,5290594.869607475,48.1,Emergency medical preparation for blast injuries.
NEO,(2025 NC),18.6225855811,8.8290879798,612413.43795297,93.9,Post-impact environmental monitoring plans.
NEO,(2025 MZ93),17.2997560398,6.6134200034,1771587.852469858,82.3,Temporary exclusion zones around predicted impact sites.
NEO,(2025 NM1),5.4959146391,11.5923832284,607095.847025737,93.9,Post-impact environmental monitoring plans.
NEO,(2025 NN1),5.2971220406,9.653218034,160279.861027989,98.4,Research into long-term planetary defense strategies.
NEO,(2025 NO1),3.4201092472,9.2964685548,256204.947390241,97.4,Research into long-term planetary defense strategies.
NEO,(2021 QK2),78.7118244161,10.5597723812,9294477.17156805,12.2,International coordination for disaster management.
NEO,(2025 MX),25.0057554041,6.5191115146,7941019.255292811,20.7,Use nuclear devices only as last-resort deflection.
NEO,(2025 MP1),28.8429700351,5.4022299218,1042219.383182581,89.6,Analysis of meteor composition for chemical hazards.
NEO,(2025 MN2),66.6868154623,12.8494562151,8231570.243018269,22.3,Use nuclear devices only as last-resort deflection.
NEO,(2025 MF89),79.4401359603,16.910166776,8067096.944257162,32.8,Secure critical infrastructure in potential impact zones.
NEO,(2025 ML89),35.1592804749,8.5784332777,1147560.92243177,88.8,Analysis of meteor composition for chemical hazards.
NEO,(2025 MU90),36.8162863142,13.076350673,1635969.349909239,84.4,Temporary exclusion zones around predicted impact sites.
NEO,(2014 DH),28.4472296503,12.0555312143,6557208.888620941,34.7,Secure critical infrastructure in potential impact zones.
NEO,(2025 ML),41.3085526634,11.6654258778,2551350.802711916,75.4,Meteor insurance programs for property damage.
NEO,(2025 MZ1),25.9441817907,4.6399100341,1287168.182919773,87.2,Analysis of meteor composition for chemical hazards.
NEO,(2025 MS88),36.9862225707,10.1214916319,1675518.030168381,83.7,Temporary exclusion zones around predicted impact sites.
NEO,(2025 MT1),33.7318358913,2.3696733866,5921886.347011698,40.8,Satellite observation to track fragmenting meteors.
NEO,(2025 MW88),44.2629116503,9.1893014332,9631541.30855135,4.4,Early detection and orbit monitoring to plan deflection.
NEO,(2025 MV88),58.0817881978,21.739707517,3505933.958474057,73.6,Rapid response teams for search & rescue.
NEO,(2025 MJ91),18.7085435306,7.5056313362,70069.727455264,99.3,Research into long-term planetary defense strategies.
NEO,(2025 NS),81.290534434,13.7715471011,1388873.536501594,95.7,Research into long-term planetary defense strategies.
NEO,(2025 MH90),86.70416872,6.5016797911,7419076.415764023,28.4,Public alert system for meteor airburst warnings.
NEO,(2025 NE1),87.5064325156,19.1187134256,7000302.655216284,53.0,Fire suppression readiness in case of fireball impacts.
NEO,(2025 NR1),151.370058502,13.8204083563,3239406.548616798,100,Research into long-term planetary defense strategies.
NEO,(2025 MY88),61.0998267476,8.5482247631,3367860.869022265,67.9,Debris shielding for satellites in orbit.
NEO,(2025 MV89),63.9793728683,8.6955271438,1960016.213274704,82.3,Temporary exclusion zones around predicted impact sites.
NEO,(2025 NH1),3.7847742368,14.4823011606,93520.779315186,99.1,Research into long-term planetary defense strategies.
NEO,(2025 ON),55.4676771118,9.7653201849,5114037.713138396,50.4,Fire suppression readiness in case of fireball impacts.
NEO,(2022 BJ),300.6353038309,23.6427972541,9857079.6051386,100,Research into long-term planetary defense strategies.
NEO,(2025 MW91),76.5667086792,16.5930983713,6135870.392270348,50.2,Fire suppression readiness in case of fireball impacts.
NEO,(2025 LF),104.2413383852,6.3630455257,8388345.190509815,20.4,Use nuclear devices only as last-resort deflection.
NEO,(2025 MV),37.5007521798,4.1279895332,8077527.625823338,19.3,Deploy kinetic impactor to change asteroid trajectory.
NEO,(2025 MC92),15.7775650265,4.9802841123,1520150.888392257,84.8,Temporary exclusion zones around predicted impact sites.
NEO,(2019 JM),23.6613750114,6.9353935647,6375188.043944787,36.3,Simulation drills for cities under high risk.
NEO,(2019 NW5),107.6564311691,16.495783399,5822274.421143296,73.6,Rapid response teams for search & rescue.
NEO,(2025 OE1),61.3818507339,8.9767729795,3633729.030986008,65.4,Debris shielding for satellites in orbit.
NEO,(2025 OM3),19.5902500233,1.2790423802,7593649.680080097,24.1,Use nuclear devices only as last-resort deflection.
NEO,(2025 MN88),33.2690177523,7.8226206363,738101.589023628,92.8,Post-impact environmental monitoring plans.
NEO,(2025 OH11),27.5448225424,3.450259621,4948359.583051883,50.5,Fire suppression readiness in case of fireball impacts.
NEO,(2014 QX432),633.9280645215,20.2521003209,9902861.938881919,100,Research into long-term planetary defense strategies.
NEO,(2025 MO),16.219593992,4.5751349843,2565564.949048475,74.4,Rapid response teams for search & rescue.
NEO,(2025 NJ),44.0595420444,13.5484897144,3597158.604961974,65.5,Debris shielding for satellites in orbit.
NEO,(2025 NM),75.1692087496,19.2915937998,7887726.91399826,36.0,Simulation drills for cities under high risk.
NEO,839444 (2014 QX432),633.9280645215,20.2521003216,9902861.953841707,100,Research into long-term planetary defense strategies.
NEO,(2005 VO5),663.8041737711,14.3773518941,6085390.161816483,100,Research into long-term planetary defense strategies.
NEO,(2022 MA3),212.8334959841,10.782148691,8243744.068885259,100,Research into long-term planetary defense strategies.
NEO,(2025 MD1),74.8238376074,8.9062293816,6897447.297928412,34.1,Secure critical infrastructure in potential impact zones.
NEO,(2025 MD89),63.9793728683,8.0620891104,5629529.383880026,45.3,Emergency medical preparation for blast injuries.
NEO,(2025 NS1),27.0420728718,11.9947812085,427532.31192199,96.0,Research into long-term planetary defense strategies.
NEO,(2025 OH1),95.5080501462,16.6079890364,4346161.031737614,79.1,Meteor insurance programs for property damage.
NEO,812769 (2005 VO5),625.2302454035,14.3773518831,6085390.161816483,100,Research into long-term planetary defense strategies.
NEO,(2025 MG1),68.5551331654,7.1747761264,5040298.604248411,51.2,Fire suppression readiness in case of fireball impacts.
NEO,(2025 OE),90.3732662579,10.9441231955,4633223.711290199,62.0,Reinforcement of buildings against shockwaves.
NEO,(2025 OG),78.7118244161,8.6713923644,7160245.980875921,31.8,Secure critical infrastructure in potential impact zones.
NEO,(2025 OQ),47.2106498806,7.8305467828,3896201.919692231,61.6,Reinforcement of buildings against shockwaves.
NEO,(2025 MA90),139.9716166857,9.047784611,6469210.275320213,56.4,Marine alerts for potential tsunami from ocean impacts.
NEO,(2025 OF),28.0569190272,16.1185799989,366101.173309024,96.9,Research into long-term planetary defense strategies.
NEO,(2025 OL),57.8149266216,6.6240171959,1141623.68216721,89.4,Analysis of meteor composition for chemical hazards.
NEO,(2012 RR16),77.6318576982,5.5529929493,9349315.382452246,7.9,Evacuation of high-risk areas if impact is imminent.
NEO,(2025 NT),51.7654482198,10.4120470664,9298464.14928078,8.4,Evacuation of high-risk areas if impact is imminent.
NEO,(2025 OD),116.4233197418,15.7255539992,8397198.138140036,52.7,Fire suppression readiness in case of fireball impacts.
NEO,(2025 OK),19.0563613233,6.9535510346,1109326.878334614,88.9,Analysis of meteor composition for chemical hazards.
NEO,(2025 OM),51.5276075896,10.3890157654,2204970.862288613,79.3,Meteor insurance programs for property damage.
NEO,(2025 OO),83.9537266171,7.6508508383,7372004.608220451,29.5,Public alert system for meteor airburst warnings.
NEO,(2019 AQ11),247.7650126055,20.7447686412,9936604.965162953,100,Research into long-term planetary defense strategies.
NEO,(2025 ND1),245.4934893163,13.8996830225,8592181.907527857,100,Research into long-term planetary defense strategies.
NEO,(2025 OY),36.4787525725,10.063062875,1903831.531801786,81.4,Temporary exclusion zones around predicted impact sites.
NEO,(2022 YS5),63.9793728683,6.1072200861,6678059.014656225,34.1,Secure critical infrastructure in potential impact zones.
NEO,(2025 OA),28.7104486255,14.2059833512,954074.47812478,90.9,Post-impact environmental monitoring plans.
NEO,(2025 OC),15.7775650265,6.8556984852,296101.741892873,97.1,Research into long-term planetary defense strategies.
NEO,(2025 PN7),31.7716652976,2.3315067384,5908154.429409084,40.9,Satellite observation to track fragmenting meteors.
NEO,(2025 OB),37.6738477871,14.1122049987,1249643.786238536,88.5,Analysis of meteor composition for chemical hazards.
NEO,(2025 OV),79.8068149676,11.2793457562,4216870.683635652,63.9,Reinforcement of buildings against shockwaves.
NEO,(2025 OE4),34.5175512843,13.1207218168,3888603.080925794,61.8,Reinforcement of buildings against shockwaves.
NEO,(2012 OQ),250.057554041,13.5307158791,8058032.300681104,100,Research into long-term planetary defense strategies.
NEO,(2025 OA1),45.0858206172,7.2452205068,5262343.222099253,47.8,Emergency medical preparation for blast injuries.
NEO,(2025 OT2),40.1827799216,9.5715995667,5252174.142328346,48.0,Emergency medical preparation for blast injuries.
NEO,836356 (2012 OQ),250.057554041,13.530715877,8058032.300681104,100,Research into long-term planetary defense strategies.
NEO,(2025 OY1),85.1216392921,6.8829624938,9879089.700395107,4.0,Early detection and orbit monitoring to plan deflection.
NEO,(2025 ON2),99.0923159661,10.2870584374,2782756.761594387,81.8,Temporary exclusion zones around predicted impact sites.
NEO,(2025 OP5),27.2922900914,4.6184098256,1975855.830227535,80.3,Temporary exclusion zones around predicted impact sites.
NEO,(2025 OV20),19.9544599636,13.3721525988,470637.786258891,95.4,Research into long-term planetary defense strategies.
NEO,(2025 ME92),52.4855773378,5.2821816582,5132434.047448249,49.1,Emergency medical preparation for blast injuries.
NEO,(2025 OT),138.0511341077,7.5146356693,7989114.267387822,34.1,Secure critical infrastructure in potential impact zones.
NEO,(2025 OD2),72.4502650757,4.7169677594,9320809.942157568,7.6,Evacuation of high-risk areas if impact is imminent.
NEO,(2020 MA1),49.435619262,4.3114171513,8675310.556647966,13.5,International coordination for disaster management.
